Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
-9.1e-07,0.0020105714,0.69750492,-5.7615e-05,0.000120011,7926.716604471207,"03 04 2019, 20_00_24"
-5.2e-07,0.0020104188,0.69749973,-5.7381e-05,0.000120141,7928.306756496429,"03 04 2019, 20_00_25"
-1.3e-07,0.0020103934,0.69746076,-5.7381e-05,0.000119634,7929.899230480194,"03 04 2019, 20_00_27"
-3.9e-07,0.0020103425,0.69748804,-5.7602e-05,0.000119725,7931.50003194809,"03 04 2019, 20_00_28"
-2.6e-07,0.0020104443,0.69744647,-5.7563e-05,0.000119933,7933.101671457291,"03 04 2019, 20_00_30"
-3.9e-07,0.002010368,0.69746206,-5.7732e-05,0.00011992,7934.69948387146,"03 04 2019, 20_00_32"
-3.9e-07,0.0020103171,0.69748544,-5.7342e-05,0.000119414,7936.29930305481,"03 04 2019, 20_00_33"
-6.5e-07,0.002010546,0.69750232,-5.7706e-05,0.000119037,7937.889220237732,"03 04 2019, 20_00_35"
-5.2e-07,0.0020104697,0.69742829,-5.7797e-05,0.000119479,7939.492142677307,"03 04 2019, 20_00_36"
-6.5e-07,0.0020104951,0.69748804,-5.7784e-05,0.000119621,7941.088955163956,"03 04 2019, 20_00_38"
-9.1e-07,0.0020103171,0.69744388,-5.7589e-05,0.00011979,7942.678895950317,"03 04 2019, 20_00_40"
-5.2e-07,0.0020106478,0.69747894,-5.7563e-05,0.000119842,7944.280539274216,"03 04 2019, 20_00_41"
-1.3e-07,0.0020106732,0.69747375,-5.7589e-05,0.000119881,7945.874168634415,"03 04 2019, 20_00_43"
-1.169e-06,0.0020104443,0.69747245,-5.7641e-05,0.000119751,7947.469967126846,"03 04 2019, 20_00_44"
-5.2e-07,0.0020107241,0.69746596,-5.7459e-05,0.000119907,7949.069795370102,"03 04 2019, 20_00_46"
-2.6e-07,0.0020105714,0.69753479,-5.7316e-05,0.000119712,7950.667845249176,"03 04 2019, 20_00_48"
-1.169e-06,0.0020104697,0.69749583,-5.7706e-05,0.000119803,7952.259016752243,"03 04 2019, 20_00_49"
-1.169e-06,0.0020106223,0.69754908,-5.7394e-05,0.000119816,7953.858592033386,"03 04 2019, 20_00_51"
-6.5e-07,0.0020102153,0.69746726,-5.7888e-05,0.000119803,7955.459420442581,"03 04 2019, 20_00_52"
-1.04e-06,0.0020105714,0.6975231,-5.7758e-05,0.000120141,7957.059417009354,"03 04 2019, 20_00_54"
