Current,Supply_voltage,TEG1,TEG2,Time
0.014408792,4.9948433,0.001364297,-0.000869899,346.0711524486542
0.014408543,4.994856,0.001364234,-0.00086907,347.3391065597534
0.014408543,4.9948814,0.001364387,-0.000868063,348.6160271167755
0.014408792,4.994856,0.001364642,-0.000867604,349.88584184646606
0.014408792,4.994856,0.00136431,-0.000866839,351.1597828865051
0.014409041,4.9948306,0.001364705,-0.000866062,352.43540620803833
0.014409041,4.9948814,0.001364336,-0.000865705,353.7029142379761
0.014408543,4.9948941,0.001364055,-0.000865004,354.9760220050812
0.014408792,4.994856,0.001363507,-0.000864239,356.25343322753906
0.014408543,4.994856,0.001363992,-0.000864188,357.54598808288574
0.014409041,4.9948687,0.00136324,-0.000863474,358.8179874420166
0.014408792,4.9948051,0.001363023,-0.000863487,360.08755803108215
0.014408792,4.9948687,0.001362959,-0.000862977,361.34225130081177
0.014408792,4.9948687,0.001362972,-0.000862786,362.62033796310425
0.014408792,4.9948433,0.001362628,-0.000862021,363.88984847068787
0.014408543,4.9948814,0.00136287,-0.000861677,365.178733587265
0.014409041,4.9948687,0.001363048,-0.000860823,366.449280500412
0.014408792,4.994945,0.001363125,-0.000860899,367.702605009079
0.014409041,4.9948941,0.001362946,-0.00086002,368.96792364120483
0.014408792,4.9949196,0.001362755,-0.000859714,370.2456579208374
0.014409041,4.9949196,0.00136222,-0.000859638,371.51591992378235
0.014408543,4.9949069,0.001362182,-0.000858962,372.79089879989624
0.014409041,4.9948814,0.001362233,-0.000858427,374.06570315361023
0.014409041,4.9948814,0.001362589,-0.000858159,375.34381222724915
0.014408543,4.9948687,0.001362526,-0.000857917,376.62162232398987
0.01440929,4.9949069,0.001362449,-0.000857458,377.8928864002228
0.014409041,4.994945,0.001362335,-0.000857254,379.1701533794403
0.01440929,4.9949832,0.001362564,-0.000856043,380.4410197734833
-7.9382e-06,4.9948941,0.001362526,-0.000856094,381.8081760406494
-7.54e-06,-0.002565112,0.001361837,-0.000859255,383.29118752479553
-7.4654e-06,-0.002593027,0.00134426,-0.000874373,384.76978182792664
-7.5649e-06,-0.002638532,0.00131516,-0.000893135,386.25157260894775
-7.5898e-06,-0.002649494,0.001285945,-0.000912472,387.7347106933594
-7.6147e-06,-0.002630247,0.001259496,-0.000929871,389.2329783439636
-7.6894e-06,-0.002623236,0.001236399,-0.000944759,390.74739360809326
-7.4156e-06,-0.002630757,0.001217305,-0.000958754,392.27570819854736
-7.4156e-06,-0.002578496,0.001199982,-0.000970367,393.7708134651184
-7.341e-06,-0.002563583,0.001186764,-0.000981023,395.285564661026
-7.4405e-06,-0.002589713,0.001174744,-0.000990138,396.7758228778839
-7.3907e-06,-0.002558994,0.001164674,-0.000998143,398.2632739543915
-7.2414e-06,-0.00260042,0.001156708,-0.00100472,399.7467577457428
-7.4156e-06,-0.002604626,0.001149149,-0.001011247,401.25537848472595
-7.4654e-06,-0.002600038,0.001142763,-0.001017008,402.7535026073456
-7.4156e-06,-0.002593409,0.001136989,-0.001021406,404.2522614002228
-7.4156e-06,-0.002562945,0.001132311,-0.001026122,405.7286536693573
-7.4654e-06,-0.002587546,0.001127773,-0.00102992,407.21612787246704
-7.2663e-06,-0.002642993,0.001124332,-0.001033209,408.6988568305969
-7.2414e-06,-0.00252649,0.001120648,-0.001036242,410.19197487831116
-7.3907e-06,-0.002559631,0.001118201,-0.001038805,411.69380378723145
-7.4654e-06,-0.002585762,0.00111569,-0.001041328,413.2009665966034
-7.5649e-06,-0.0025929,0.001113803,-0.001043266,414.6945924758911
-7.4903e-06,-0.002562563,0.00111156,-0.00104505,416.1738266944885
-7.54e-06,-0.002583977,0.001109609,-0.001046911,417.6645703315735
-7.3907e-06,-0.002577986,0.0011085,-0.001048275,419.1483750343323
-7.3161e-06,-0.002530187,0.001107149,-0.001049881,420.64380741119385
