Time,Current,Voltage
2976.839317,8.74E-07,-8.90E-08
2978.205494,8.81E-07,-4.97E-07
2979.556685,9.28E-07,6.40E-08
2980.905008,8.31E-07,-1.30E-08
2982.276955,9.26E-07,2.04E-07
2983.624988,8.93E-07,3.80E-08
2985.03121,9.03E-07,-2.93E-07
2986.385145,8.86E-07,-1.53E-07
2987.731937,8.54E-07,-6.40E-08
2989.096506,8.86E-07,-1.66E-07
2990.459698,8.31E-07,-1.53E-07
2991.81581,8.34E-07,-2.68E-07
2993.156693,8.71E-07,1.30E-08
2994.517425,8.39E-07,-3.57E-07
2995.887025,8.01E-07,3.44E-07
2997.235887,8.78E-07,6.40E-08
2998.59572,9.53E-07,-1.27E-07
2999.933443,7.81E-07,2.04E-07
3001.306169,8.98E-07,-1.66E-07
3002.671588,8.01E-07,1.30E-08
3004.028754,9.11E-07,-3.70E-07
3005.365765,8.29E-07,3.70E-07
3006.727262,8.39E-07,7.60E-08
3008.098987,9.21E-07,-6.40E-08
3009.446666,8.61E-07,6.40E-08
3010.79392,8.81E-07,7.60E-08
3012.156349,8.56E-07,-1.78E-07
3013.52001,8.39E-07,7.60E-08
3014.878225,8.59E-07,7.60E-08
3016.236328,8.29E-07,1.27E-07
3017.582015,9.13E-07,-8.90E-08
3018.945486,8.56E-07,-1.15E-07
3020.306933,8.41E-07,-5.74E-07
3021.655123,8.34E-07,-1.91E-07
3023.006575,9.11E-07,-1.66E-07
3024.376571,8.39E-07,-2.17E-07
3025.737178,8.44E-07,-1.02E-07
3027.091022,9.63E-07,1.02E-07
3028.447122,8.46E-07,-1.27E-07
3029.809444,9.53E-07,1.53E-07
3031.157433,8.29E-07,4.59E-07
3032.512806,8.76E-07,2.68E-07
3033.866865,8.98E-07,6.40E-08
3035.236006,8.98E-07,3.44E-07
3036.596626,8.31E-07,-1.78E-07
3037.954175,8.19E-07,-2.29E-07
3039.297249,8.83E-07,-1.40E-07
3040.657325,8.66E-07,0
3042.028403,8.69E-07,-2.55E-07
3043.385686,8.66E-07,-6.40E-08
3044.741667,8.29E-07,1.78E-07
3046.097213,8.74E-07,1.27E-07
3047.456743,7.96E-07,-1.15E-07
3048.806346,8.86E-07,1.53E-07
3050.161587,8.54E-07,-2.42E-07
3051.525898,8.21E-07,-2.17E-07
3052.884805,8.36E-07,8.90E-08
3054.239884,8.86E-07,-7.60E-08
3055.585479,8.61E-07,-1.66E-07
3056.939811,8.29E-07,2.50E-08
3058.316498,8.26E-07,8.90E-08
3059.676234,7.74E-07,-2.55E-07
3061.030816,8.09E-07,-6.40E-08
3062.371161,8.74E-07,-3.19E-07
3063.738138,8.34E-07,1.15E-07
3065.10733,8.56E-07,-1.66E-07
3066.463476,7.86E-07,2.42E-07
3067.814912,8.78E-07,2.93E-07
3069.168831,7.94E-07,-1.78E-07
3070.536551,8.59E-07,2.29E-07
3071.896189,8.59E-07,-1.02E-07
3073.247069,8.49E-07,1.91E-07
3074.596866,8.61E-07,-1.27E-07
3075.967029,8.78E-07,6.40E-08
3077.32623,8.46E-07,-3.06E-07
3078.677286,7.94E-07,2.55E-07
3080.035859,8.74E-07,-1.30E-08
3081.388885,9.23E-07,-6.40E-08
3082.767166,7.74E-07,5.10E-08
3084.135014,8.83E-07,-3.80E-08
3085.486451,9.46E-07,-1.91E-07
3086.838791,8.56E-07,-2.04E-07
3088.189663,8.54E-07,2.50E-08
3089.557302,7.91E-07,-1.02E-07
3090.907205,8.36E-07,-5.10E-07
3092.256208,9.06E-07,-1.30E-08
3093.620631,7.89E-07,-8.90E-08
3094.974147,7.29E-07,-1.30E-08
3096.33715,8.56E-07,-2.55E-07
3097.680174,8.14E-07,-1.27E-07
3099.03971,8.09E-07,-2.80E-07
3100.396774,8.16E-07,1.02E-07
3101.758157,8.16E-07,1.91E-07
3103.111009,8.59E-07,-7.60E-08
3104.46706,8.36E-07,-3.31E-07
3105.827668,7.86E-07,-1.30E-08
3107.188184,8.04E-07,5.10E-08
3108.536948,8.66E-07,2.80E-07
3109.895385,8.11E-07,-2.80E-07
3111.256343,8.86E-07,1.02E-07
3112.624153,9.23E-07,-2.68E-07
3114.000247,8.16E-07,-2.04E-07
3115.358717,7.86E-07,8.90E-08
3116.70723,8.88E-07,1.78E-07
3118.071705,8.78E-07,0
3119.426879,8.71E-07,-2.55E-07
3120.787551,8.36E-07,0
3122.148174,8.21E-07,-1.66E-07
3123.497062,8.46E-07,-1.15E-07
3124.86279,8.21E-07,-2.17E-07
3126.21858,8.93E-07,-3.70E-07
3127.558937,7.96E-07,-1.27E-07
3128.918662,8.16E-07,1.53E-07
3130.289009,7.89E-07,1.27E-07
3131.637544,8.34E-07,-2.17E-07
3133.007803,9.06E-07,-2.80E-07
3134.34663,7.94E-07,-5.10E-08
3135.716974,8.16E-07,1.91E-07
3137.080853,8.01E-07,8.90E-08
3138.437144,7.69E-07,2.50E-08
3139.788835,8.46E-07,-7.60E-08
3141.138666,8.46E-07,-3.82E-07
3142.507597,8.66E-07,-7.60E-08
3143.857082,8.61E-07,-3.57E-07
3145.208958,8.49E-07,-3.19E-07
3146.572538,8.41E-07,-1.30E-08
3147.938153,8.09E-07,-1.66E-07
3149.288845,8.44E-07,8.90E-08
3150.648723,8.29E-07,-7.60E-08
3152.006822,8.19E-07,5.10E-08
3153.370312,7.24E-07,-1.15E-07
3154.730095,8.61E-07,2.50E-08
3156.08639,7.64E-07,8.90E-08
3157.443257,7.84E-07,-1.53E-07
3158.808152,7.69E-07,-4.21E-07
3160.168845,8.61E-07,-6.76E-07
3161.524845,8.14E-07,8.90E-08
3162.881356,8.51E-07,2.50E-08
3164.244145,7.86E-07,1.66E-07
